Title,Link,Query
ASTRONOMIA SERVE pra QUÊ?,https://www.youtube.com/watch?v=dgagib26rFM,a astronomia pode ser usada para responder perguntas sobre a origem e evolução do universo
Museu Aberto de ASTRONOMIA,https://www.youtube.com/watch?v=2rPuG-xM3lc,o Museu Aberto de Astronomia pode ser usado para complementar a educação formal em astronomia
Construindo TELESCÓPIOS 🔭,https://www.youtube.com/watch?v=EpgAa_sPbOQ,desafios enfrentados na construção de telescópios de alta precisão
As dificuldades da ASTRONOMIA no BRASIL,https://www.youtube.com/watch?v=atWISPpQQFQ,importância da astronomia para o desenvolvimento científico e tecnológico do Brasil
O que acontece quando um ASTEROIDE COLIDE com a TERRA?,https://www.youtube.com/watch?v=9unud0lUpcQ,relação entre a colisão de asteroides e a evolução da vida na Terra
NOVAS GERAÇÕES da Astronomia,https://www.youtube.com/watch?v=iEwqxhn4qH0,as novas gerações estão mudando a face da astronomia e aprimorando nossa compreensão do universo
REFORMA do ENSINO MÉDIO,https://www.youtube.com/watch?v=lYuQ42XW2gk,a reforma afeta os estudantes e os profissionais envolvidos no ensino médio
Ciência na AMÉRICA DO SUL,https://www.youtube.com/watch?v=-5pNJQ7LDwQ,colaboração internacional e a integração da ciência na América do Sul com outras regiões do mundo
HIPNOSE REGRESSIVA para ABDUZIDOS,https://www.youtube.com/watch?v=od0uy5jGrFg,"a hipnose regressiva é diferente de outras técnicas de terapia, como a terapia cognitivo-comportamental?"
FÍSICA para COACH QUÂNTICO,https://www.youtube.com/watch?v=DZf5Gw8aryA,a física quântica pode ser aplicada em práticas de coaching quântico para ajudar as pessoas a alcançarem seus objetivos
LEGALIZAÇÃO da CONSTELAÇÃO FAMILIAR,https://www.youtube.com/watch?v=Kh54qpCMzYQ,a constelação familiar pode ser usada para ajudar as pessoas a lidar com questões emocionais e familiares complexas
Vantagem dos TERRAPLANISTAS,https://www.youtube.com/watch?v=KbJY8nN0muw,as teorias de terraplenagem afetam a compreensão da geologia e da ciência da Terra
Por que EINSTEIN disse ISSO?,https://www.youtube.com/watch?v=4jeFhaAiJp0,importância da frase de Einstein para a ciência e a sociedade hoje em dia
EXPLICANDO a FENDA DUPLA,https://www.youtube.com/watch?v=NwyDTasbFcw,a fenda dupla é usada para demonstrar a natureza ondulatória da luz
Sobre CESAR LATTES,https://www.youtube.com/watch?v=LGHh2uZuEDY,Cesar Lattes influenciou outros cientistas e colaborou com a comunidade científica internacional
POLÊMICAS em ARTIGOS,https://www.youtube.com/watch?v=aSUnEHYlBZY,métodos para prevenir polêmicas em artigos científicos
A TERRAPLANA não é a PIOR conspiração,https://www.youtube.com/watch?v=s2_CAllqR5k,"a mensagem que o canal Ciência sem Fim deseja passar com o vídeo ""A TERRAPLANA não é a PIOR conspiração""?"
OBSERVATÓRIOS são FASCINANTES,https://www.youtube.com/watch?v=3hInbS6m75E,"Os observatórios são de acesso público, ou somente pesquisadores têm permissão para usá-los"
CRIANDO uma ESTRELA AO VIVO,https://www.youtube.com/watch?v=uXIGIRcGsTw,criação de estrelas ao vivo pode impactar o nosso entendimento sobre o universo
PROGRAMAÇÃO na ASTRONOMIA,https://www.youtube.com/watch?v=UpaVqjGkJRA,a programação é usada para simular e modelar eventos astronômicos
CANDIDATAS a IRMÃS do SOL,https://www.youtube.com/watch?v=FfxLOOYMLnY,estrelas são consideradas como potenciais irmãs do sol
Aglomerados GLOBULARES,https://www.youtube.com/watch?v=05ShKs8RLEc,os aglomerados globulares são diferentes de outras estruturas celestiais
Fazer ASTRONOMIA ou NÃO?,https://www.youtube.com/watch?v=bEHlNPTHB58,A astronomia é uma carreira com boas oportunidades
Matéria de PLASMA MAGNETOIDRODINÂMICA,https://www.youtube.com/watch?v=NBb0Yrb01Is,a matéria de plasma magnetoidrodinâmica é importante para a astronomia
TRANSFORMAR a ISS em BASE LUNAR,https://www.youtube.com/watch?v=gJ9CEe1lyAM,vantagens de se ter uma base lunar em comparação a uma base na Terra
COMO NASCEU a LUA,https://www.youtube.com/watch?v=zuC-gDMgjAw,a teoria sobre a origem da Lua mudou ao longo do tempo
A IDA a LUA foi CINEMATOGRÁFICA?,https://www.youtube.com/watch?v=FOGoxcXd6XU,algumas pessoas acreditam que a ida à Lua foi cinematográfica
POR QUE não VOLTAMOS para a LUA?,https://www.youtube.com/watch?v=fz2XIoXpGI0,a exploração da Lua pode contribuir para nossa compreensão do universo
A LUA está SE AFASTANDO da TERRA,https://www.youtube.com/watch?v=bdLtRA2SocM,mudança no afastamento da Lua da Terra
TEORIA do Filme MOONFALL,https://www.youtube.com/watch?v=4oLXiYOZ3Fk,"a teoria do filme ""Moonfall"" se relaciona com a ciência da Lua"
EXPLORAÇÃO de RECURSOS LUNARES,https://www.youtube.com/watch?v=LUdnJ98CfY8,os recursos lunares serão extraídos e trazidos para a Terra
A TERRA com DUAS LUAS,https://www.youtube.com/watch?v=tKyfwPwBee8,a presença de duas luas poderia afetar o clima e o comportamento geológico da Terra
Por que ESTUDAMOS o SOL?,https://www.youtube.com/watch?v=ySDsmQGuJ9o,as pesquisas sobre o Sol ajudam a compreender o sistema solar
DICAS para registrar O ESPAÇO 🌌,https://www.youtube.com/watch?v=LpdOwmz48yc,melhor hora do dia para registrar o espaço
Fiquei MUITO TEMPO esperando UM COMETA e...,https://www.youtube.com/watch?v=2d5kwwY5Z2k,importância do uso de equipamentos específicos para registrar o cometa
Tecnologias para ENXERGAR COMETAS,https://www.youtube.com/watch?v=4dui1x2Qnas,a tecnologia melhorou nossa capacidade de observar cometas
IMAGENS REAIS do SOL,https://www.youtube.com/watch?v=dN31nqsHpxI,a tecnologia melhorou nossa capacidade de capturar imagens do sol
Observando o SOL,https://www.youtube.com/watch?v=jhVqE2UO08E,ferramentas e tecnologias são usadas para observar o sol tendo vantagens e limitações
COMETA HALLEY,https://www.youtube.com/watch?v=pWBw8GJiVpw,o cometa Halley interage com o sol e outros objetos celestes e quais são as possíveis implicações dessas interações
COMBATENDO a DENGUE ATUALMENTE,https://www.youtube.com/watch?v=Wl4aen5QEag,desafios e obstáculos enfrentados pelos esforços de controle da dengue
QUAL a MELHOR VACINA?,https://www.youtube.com/watch?v=TbjaRzs1zuY,"fatores são considerados ao determinar qual vacina é a ""melhor"" para uma determinada população ou indivíduo"
NOVA VARIANTE do COVID,https://www.youtube.com/watch?v=vzoELCBkM1w,a nova variante é diferente das outras variantes do COVID-19
MÁSCARAS não OBRIGATÓRIAS,https://www.youtube.com/watch?v=tSZN4rC3nS4,a recomendação sobre o uso de máscaras mudou ao longo da pandemia de COVID-19
Os PETS TRANSMITEM COVID ?,https://www.youtube.com/watch?v=07UO6x4QH4s,as precauções que as pessoas devem tomar para evitar a transmissão do COVID-19 para seus animais de estimação
Doença NEGLIGENCIADA,https://www.youtube.com/watch?v=Y0ogtdyIXTU,impactos das doenças negligenciadas na saúde pública
ESTAMOS em UMA EPIDEMIA,https://www.youtube.com/watch?v=FGDGtKp5KAc,as autoridades de saúde e a comunidade científica estão lidando com a epidemia
INÍCIO da COVID,https://www.youtube.com/watch?v=Pe_84cODDJI,importância de entender a origem da COVID-19 para a prevenção e controle da pandemia
DESCOBRINDO a AIDS,https://www.youtube.com/watch?v=7Bco6xsD3I4,os médicos e cientistas detectaram a presença do vírus da AIDS pela primeira vez
A DOENÇA LETAL dos ANOS 80,https://www.youtube.com/watch?v=0kAzPCwNaSw,a pesquisa e o tratamento da doença letal dos anos 80 avançaram desde o início da pandemia
BANDEIRA dos ESTADOS UNIDOS na LUA,https://www.youtube.com/watch?v=pJJOyYI1gUw,a missão para plantar a bandeira dos Estados Unidos na Lua foi planejada e executada
FOTOS de SATURNO feitas do QUINTAL,https://www.youtube.com/watch?v=dbcQuZJT4TU,É realmente possível tirar fotos de Saturno a partir do quintal de sua casa
REDE de TELESCÓPIO 24h,https://www.youtube.com/watch?v=yXuOsB8o2oo,a rede de telescópios 24h está contribuindo para o avanço da astronomia
DESCOBERTAS na LUA,https://www.youtube.com/watch?v=EHWL_2EEmyY,as descobertas feitas na Lua influenciam nossa compreensão do Sistema Solar
Fotos LUNARES INCRÍVEIS,https://www.youtube.com/watch?v=rASu8JelVZQ,as fotos lunares incríveis ajudam a entender a Lua
A LUA conta SUA HISTÓRIA,https://www.youtube.com/watch?v=s3fzzN7903U,a história da Lua se relaciona com a história do Sistema Solar e da Terra
FOTOGRAFANDO o ESPAÇO,https://www.youtube.com/watch?v=-zVZP2LBl2w,as tecnologias de fotografia espacial evoluíram ao longo do tempo
MITOS e VERDADES do HIDROMEL,https://www.youtube.com/watch?v=GFKItOOISio,mitos mais comuns sobre o hidromel
DESASTRES em SABORES de HIDROMEL,https://www.youtube.com/watch?v=eqM8_4jXFlE,riscos envolvidos na fabricação de hidromel após desastres naturais
LEVEDURAS nas BEBIDAS,https://www.youtube.com/watch?v=PuNqyOrCsrM,"as leveduras diferentes afetam a textura, cor e aroma das bebidas"
FEIRAS MEDIEVAIS no BRASIL,https://www.youtube.com/watch?v=yDkRXMLcxsM,as feiras medievais se adaptaram aos tempos modernos e tiveram desafios enfrentaram nesse processo
A BEBIDA mais VELHA da História,https://www.youtube.com/watch?v=PGeZ2y1E-Fc,A BEBIDA mais VELHA da História desempenhou um papel nas sociedades antigas e modernas
A MAIOR MENTIRA do HIDROMEL?,https://www.youtube.com/watch?v=qe6lpyziMjs,a mentira sobre o hidromel influenciou a produção e o consumo da bebida
ORIGEM do HIDROMEL,https://www.youtube.com/watch?v=QRAoEyGsEtk,diferenças entre os métodos tradicionais e modernos de produção de hidromel
PERIGOS na PRODUÇÃO de BEBIDAS,https://www.youtube.com/watch?v=gXdr7yTcEBQ,medidas são tomadas para garantir a segurança das bebidas durante a produção
